Participants,Trial,Grammar,Block,Response,RT,Accuracy
1,1,0,1,n,1178,1
1,2,1,1,x,367,1
1,3,1,1,x,346,1
1,4,0,1,n,370,1
1,5,1,1,n,327,0
1,6,1,1,x,446,1
1,7,0,1,n,342,1
1,8,1,1,x,352,1
1,9,0,1,n,433,1
1,10,1,1,x,398,1
1,11,1,1,x,338,1
1,12,0,1,n,389,1
1,13,1,1,x,368,1
1,14,1,1,x,352,1
1,15,0,1,n,368,1
1,16,1,1,x,368,1
1,17,0,1,n,426,1
1,18,1,1,x,373,1
1,19,1,1,x,356,1
1,20,0,1,n,332,1
1,21,1,1,x,340,1
1,22,0,1,n,410,1
1,23,1,1,x,381,1
1,24,1,1,x,553,1
1,25,0,1,n,331,1
1,26,1,1,x,562,1
1,27,1,1,x,306,1
1,28,0,1,n,334,1
1,29,1,1,x,336,1
1,30,0,1,n,334,1
1,31,1,1,x,335,1
1,32,1,1,x,331,1
1,33,0,1,n,366,1
1,34,1,1,x,313,1
1,35,1,1,x,466,1
1,36,0,1,n,337,1
1,37,1,1,x,347,1
1,38,0,1,n,366,1
1,39,1,1,x,361,1
1,40,1,1,x,348,1
1,41,0,1,n,326,1
1,42,1,1,x,372,1
1,43,0,1,n,326,1
1,44,1,1,x,302,1
1,45,1,1,x,293,1
1,46,0,1,n,284,1
1,47,1,1,x,279,1
1,48,1,1,x,362,1
1,49,0,1,n,221,1
1,50,1,1,x,304,1
1,51,0,1,n,249,1
1,52,1,1,x,106,1
1,53,1,1,x,305,1
1,54,0,1,n,116,1
1,55,1,1,x,178,1
1,56,0,1,x,187,0
1,57,1,1,x,294,1
1,58,1,1,x,289,1
1,59,0,1,n,312,1
1,60,1,1,x,315,1
1,61,1,1,x,379,1
1,62,0,1,n,248,1
1,63,1,1,x,319,1
1,64,0,1,x,304,0
1,65,1,1,x,417,1
1,66,1,1,x,303,1
1,67,0,1,n,332,1
1,68,1,1,x,324,1
1,69,1,1,x,316,1
1,70,0,1,n,286,1
1,71,1,1,x,287,1
1,72,0,1,n,302,1
1,73,1,1,x,327,1
1,74,1,1,x,327,1
1,75,0,1,n,294,1
1,76,1,1,x,275,1
1,77,0,1,n,417,1
1,78,1,1,x,304,1
1,79,1,1,x,277,1
1,80,0,1,n,311,1
1,81,1,1,x,374,1
1,82,1,1,x,287,1
1,83,0,1,n,493,1
1,84,1,1,x,230,1
1,85,0,1,n,381,1
1,86,1,1,x,268,1
1,87,1,1,x,313,1
1,88,0,1,n,320,1
1,89,1,1,x,335,1
1,90,1,1,x,267,1
1,91,0,1,n,429,1
1,92,1,1,x,310,1
1,93,0,1,n,376,1
1,94,1,1,x,283,1
1,95,1,1,x,437,1
1,96,0,1,n,290,1
1,97,1,1,x,352,1
1,98,0,1,n,380,1
1,99,1,1,x,320,1
1,100,1,1,x,278,1
1,101,0,1,n,226,1
1,102,1,1,x,276,1
1,103,1,1,x,284,1
1,104,0,1,n,192,1
1,105,1,1,x,227,1
1,106,0,1,n,207,1
1,107,1,1,x,119,1
1,108,1,1,x,310,1
1,109,0,1,n,147,1
1,110,1,1,x,212,1
1,111,0,1,n,371,1
1,112,1,1,x,183,1
1,113,1,1,x,121,1
1,114,0,1,n,168,1
1,115,1,1,x,186,1
1,116,1,1,x,288,1
1,117,0,1,n,201,1
1,118,1,1,x,200,1
1,119,0,1,n,96,1
1,120,1,1,x,105,1
1,121,1,1,x,59,1
1,122,0,1,n,42,1
1,123,1,1,x,55,1
1,124,1,1,x,211,1
1,125,0,1,n,71,1
1,126,1,1,x,87,1
